curr pt[0] time,curr pt[0] vehicle time,curr pt[0],curr pt[1] time,curr pt[1] vehicle time,curr pt[1],curr param time,curr param vehicle time,curr param,desired pt[0] time,desired pt[0] vehicle time,desired pt[0],desired pt[1] time,desired pt[1] vehicle time,desired pt[1],desired yaw (rad) time,desired yaw (rad) vehicle time,desired yaw (rad),crosstrack error time,crosstrack error vehicle time,crosstrack error,front wheel angle (rad) time,front wheel angle (rad) vehicle time,front wheel angle (rad),desired speed (m/s) time,desired speed (m/s) vehicle time,desired speed (m/s),feedforward accel (m/s^2) time,feedforward accel (m/s^2) vehicle time,feedforward accel (m/s^2),output accel (m/s^2) time,output accel (m/s^2) vehicle time,output accel (m/s^2)
1739898137.1810668,21.20413589477539,0.7568264790581538,1739898137.1810756,21.20413589477539,0.024576575274356183,1739898137.181087,21.20413589477539,0.028814752629529136,1739898137.1810975,21.20413589477539,7.534696559290271,1739898137.1811025,21.20413589477539,-0.13,1739898137.1811097,21.20413589477539,-0.022802116669956133,1739898137.1811159,21.20413589477539,-0.012000406140451114,1739898137.181121,21.20413589477539,-0.0020051404348736535,1739898137.1811266,21.20413589477539,2.488028349779628,1739898137.1811328,21.20413589477539,0.0,1739898137.1811383,21.20413589477539,0.651928010234274
1739898137.2008677,21.224018812179565,0.7568264790581538,1739898137.2008762,21.224018812179565,0.024576575274356183,1739898137.200888,21.224018812179565,0.028814752629529136,1739898137.2008984,21.224018812179565,7.534696559290271,1739898137.2009034,21.224018812179565,-0.13,1739898137.2009106,21.224018812179565,-0.022802116669956133,1739898137.2009168,21.224018812179565,-0.012000406140451114,1739898137.200922,21.224018812179565,-0.0020051404348736535,1739898137.2009273,21.224018812179565,2.488028349779628,1739898137.2009335,21.224018812179565,0.0,1739898137.2009385,21.224018812179565,0.650814722524528
1739898137.22148,21.24403738975525,0.7568264790581538,1739898137.2214892,21.24403738975525,0.024576575274356183,1739898137.2215004,21.24403738975525,0.028814752629529136,1739898137.2215106,21.24403738975525,7.534696559290271,1739898137.2215164,21.24403738975525,-0.13,1739898137.2215233,21.24403738975525,-0.022802116669956133,1739898137.2215292,21.24403738975525,-0.012000406140451114,1739898137.2215347,21.24403738975525,-0.0020051404348736535,1739898137.2215397,21.24403738975525,2.488028349779628,1739898137.2215457,21.24403738975525,0.0,1739898137.221551,21.24403738975525,0.650814722524528
1739898137.239794,21.264031410217285,0.7568264790581538,1739898137.2398033,21.264031410217285,0.024576575274356183,1739898137.2398152,21.264031410217285,0.028814752629529136,1739898137.2398255,21.264031410217285,7.534696559290271,1739898137.2398305,21.264031410217285,-0.13,1739898137.2398374,21.264031410217285,-0.022802116669956133,1739898137.2398438,21.264031410217285,-0.012000406140451114,1739898137.2398489,21.264031410217285,-0.0020051404348736535,1739898137.239854,21.264031410217285,2.488028349779628,1739898137.23986,21.264031410217285,0.0,1739898137.2398655,21.264031410217285,0.650814722524528
1739898137.2607205,21.283977031707764,0.7568264790581538,1739898137.2607298,21.283977031707764,0.024576575274356183,1739898137.260742,21.283977031707764,0.028814752629529136,1739898137.2607527,21.283977031707764,7.534696559290271,1739898137.2607574,21.283977031707764,-0.13,1739898137.2607648,21.283977031707764,-0.022802116669956133,1739898137.2607713,21.283977031707764,-0.012000406140451114,1739898137.2607765,21.283977031707764,-0.0020051404348736535,1739898137.2608182,21.283977031707764,2.488028349779628,1739898137.2608259,21.283977031707764,0.0,1739898137.260831,21.283977031707764,0.650814722524528
1739898137.2819092,21.30402112007141,0.7608377190341633,1739898137.2819183,21.30402112007141,0.02444782697045658,1739898137.2819297,21.30402112007141,0.02885486502928923,1739898137.2819402,21.30402112007141,7.509391024221727,1739898137.281945,21.30402112007141,-0.13,1739898137.2819521,21.30402112007141,-0.02288207017288624,1739898137.2819583,21.30402112007141,-0.012585309348120773,1739898137.2819636,21.30402112007141,-0.002121173856108504,1739898137.2819684,21.30402112007141,2.4874463155639948,1739898137.2819746,21.30402112007141,0.0,1739898137.2819796,21.30402112007141,0.6665635271178715
1739898137.3004029,21.32401156425476,0.7608377190341633,1739898137.3004112,21.32401156425476,0.02444782697045658,1739898137.3004212,21.32401156425476,0.02885486502928923,1739898137.300431,21.32401156425476,7.509391024221727,1739898137.3004358,21.32401156425476,-0.13,1739898137.3004415,21.32401156425476,-0.02288207017288624,1739898137.3004472,21.32401156425476,-0.012585309348120773,1739898137.3004518,21.32401156425476,-0.002121173856108504,1739898137.3004568,21.32401156425476,2.4874463155639948,1739898137.3004618,21.32401156425476,0.0,1739898137.3004665,21.32401156425476,0.6586812374649964
1739898137.3211315,21.343997955322266,0.7608377190341633,1739898137.3211415,21.343997955322266,0.02444782697045658,1739898137.321153,21.343997955322266,0.02885486502928923,1739898137.3211641,21.343997955322266,7.509391024221727,1739898137.3211691,21.343997955322266,-0.13,1739898137.3211768,21.343997955322266,-0.02288207017288624,1739898137.321183,21.343997955322266,-0.012585309348120773,1739898137.3211884,21.343997955322266,-0.002121173856108504,1739898137.3211932,21.343997955322266,2.4874463155639948,1739898137.3211994,21.343997955322266,0.0,1739898137.3212047,21.343997955322266,0.6586812374649964
1739898137.340023,21.364049911499023,0.7608377190341633,1739898137.3400319,21.364049911499023,0.02444782697045658,1739898137.3400435,21.364049911499023,0.02885486502928923,1739898137.3400543,21.364049911499023,7.509391024221727,1739898137.3400598,21.364049911499023,-0.13,1739898137.3400662,21.364049911499023,-0.02288207017288624,1739898137.3400726,21.364049911499023,-0.012585309348120773,1739898137.3400779,21.364049911499023,-0.002121173856108504,1739898137.340083,21.364049911499023,2.4874463155639948,1739898137.3400893,21.364049911499023,0.0,1739898137.3400948,21.364049911499023,0.6586812374649964
1739898137.3611035,21.384021282196045,0.7608377190341633,1739898137.3611126,21.384021282196045,0.02444782697045658,1739898137.361124,21.384021282196045,0.02885486502928923,1739898137.3611348,21.384021282196045,7.509391024221727,1739898137.3611403,21.384021282196045,-0.13,1739898137.3611472,21.384021282196045,-0.02288207017288624,1739898137.3611536,21.384021282196045,-0.012585309348120773,1739898137.3611586,21.384021282196045,-0.002121173856108504,1739898137.361164,21.384021282196045,2.4874463155639948,1739898137.3611705,21.384021282196045,0.0,1739898137.3611758,21.384021282196045,0.6586812374649964
1739898137.3822365,21.404030084609985,0.7650048499918348,1739898137.3822453,21.404030084609985,0.024626934324407185,1739898137.3822567,21.404030084609985,0.02889653633886595,1739898137.3822672,21.404030084609985,7.5103901444077055,1739898137.3822725,21.404030084609985,-0.13,1739898137.3822794,21.404030084609985,-0.022919351767618543,1739898137.3822856,21.404030084609985,-0.012126581980272994,1739898137.3822906,21.404030084609985,-0.002045775076888981,1739898137.382296,21.404030084609985,2.4879027813217816,1739898137.382302,21.404030084609985,0.0,1739898137.3823075,21.404030084609985,0.6589557217139227
1739898137.4006884,21.423973560333252,0.7650048499918348,1739898137.4006968,21.423973560333252,0.024626934324407185,1739898137.4007087,21.423973560333252,0.02889653633886595,1739898137.4007196,21.423973560333252,7.5103901444077055,1739898137.400725,21.423973560333252,-0.13,1739898137.4007323,21.423973560333252,-0.022919351767618543,1739898137.4007382,21.423973560333252,-0.012126581980272994,1739898137.4007435,21.423973560333252,-0.002045775076888981,1739898137.4007487,21.423973560333252,2.4879027813217816,1739898137.4007547,21.423973560333252,0.0,1739898137.4007602,21.423973560333252,0.6588185535973159
1739898137.421964,21.44406533241272,0.7650048499918348,1739898137.4219737,21.44406533241272,0.024626934324407185,1739898137.4219854,21.44406533241272,0.02889653633886595,1739898137.4219966,21.44406533241272,7.5103901444077055,1739898137.4220016,21.44406533241272,-0.13,1739898137.4220088,21.44406533241272,-0.022919351767618543,1739898137.4220152,21.44406533241272,-0.012126581980272994,1739898137.4220207,21.44406533241272,-0.002045775076888981,1739898137.4220257,21.44406533241272,2.4879027813217816,1739898137.4220316,21.44406533241272,0.0,1739898137.422037,21.44406533241272,0.6588185535973159
